seed method state_type dim total_cells perc_genes perc_cells flag ct_in_state adj.rsq max.rsq max.rsq_sub total_cells_can_occupy_state total_cells_occupy_state total_genes total_genes_in_state
5 PCA across_cts 10 20000 0.3 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.572473497419896 0.568562973757566 0.568562973757566 20004 10002 2527 758
9 PCA within_one_ct 10 20000 0.7 0.7 NA INH 0.803436887781538 0.293984145297075 0.798169306461343 1939 1357 2527 1768
8 PCA within_one_ct 10 20000 0.7 0.7 NA MG 0.584201835272669 0.299839096935843 0.139157905273624 1292 904 2527 1768
1 PCA across_cts 10 20000 0.3 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.637166651645126 0.636311544467026 0.636311544467026 20004 10002 2527 758
3 PCA within_one_ct 10 20000 0.7 0.15 NA ODC 0.529636202058444 0.465553122378687 0.579894677882406 12220 1833 2527 1768
8 PCA across_cts 10 20000 0.3 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.62655126019747 0.623819266361153 0.623819266361153 20004 14002 2527 758
4 PCA across_cts 10 20000 0.3 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.41948494054044 0.332948130478057 0.332948130478057 20004 3000 2527 758
5 PCA across_cts 10 20000 0.15 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.0789557114525771 0.0647246067858779 0.0647246067858779 20004 10002 2527 379
9 PCA across_cts 10 20000 0.3 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.590546232026221 0.588743679425497 0.588743679425497 20004 14002 2527 758
2 PCA within_one_ct 10 20000 0.7 0.15 NA ODC 0.571567997314678 0.519405730606947 0.617683295941751 12220 1833 2527 1768
2 PCA across_cts 10 20000 0.3 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.620968287529915 0.620200761131908 0.620200761131908 20004 10002 2527 758
3 PCA across_cts 10 20000 0.15 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.00894422573473708 0.00438362662623359 0.00438362662623359 20004 10002 2527 379
