method data_param num_cells seed dim vargenes adj.rsq max.rsq
NMF all_cell_types 25000 5 50 3000 0.123737776550258 0.0189846733533086
NMF all_cell_types 25000 4 50 3000 0.104931113277829 0.0135434586128806
NMF all_cell_types 25000 2 50 3000 0.123253693308307 0.0178698288080985
NMF all_cell_types 35000 2 50 3000 0.0903395791478647 0.0117410505106249
NMF all_cell_types 35000 1 50 3000 0.0724468342892213 0.0116326923304102
NMF all_cell_types 35000 4 50 3000 0.112718350698413 0.0138752837366362
scaled_NMF all_cell_types 25000 1 50 3000 0.0124893861422101 0.00569337891243216
NMF all_cell_types 35000 3 50 3000 0.121355922429562 0.0142718518590021
NMF all_cell_types 35000 5 50 3000 0.111450100253067 0.0112006516587564
scaled_NMF all_cell_types 15000 1 50 3000 0.0167670896628487 0.00455892077213604
scaled_NMF all_cell_types 25000 2 50 3000 0.0248260864913534 0.00968756182310715
scaled_NMF all_cell_types 25000 3 50 3000 0.0121867491492876 0.0045209993353954
scaled_NMF all_cell_types 10000 1 50 3000 0.0342867381608047 0.0111605880463608
scaled_NMF all_cell_types 10000 2 50 3000 0.022114345553135 0.00822471918088652
scaled_NMF all_cell_types 35000 1 50 3000 0.0243612103378265 0.00740635351521324
scaled_NMF all_cell_types 10000 3 50 3000 0.0343040658631923 0.00692857557312199
scaled_NMF all_cell_types 10000 5 50 3000 0.0239201877726867 0.00783391167327141
scaled_NMF all_cell_types 15000 2 50 3000 0.0110953567036902 0.00508008134902327
scaled_NMF all_cell_types 10000 4 50 3000 0.013437937151859 0.00486109311806926
scaled_NMF all_cell_types 25000 4 50 3000 0.0250167450923648 0.00832913296260407
scaled_NMF all_cell_types 15000 4 50 3000 0.0177865138275229 0.00506081480003118
scaled_NMF all_cell_types 15000 3 50 3000 0.0346475984560709 0.00724790774438122
scaled_NMF all_cell_types 15000 5 50 3000 0.0210740615847554 0.0056858095486424
scaled_NMF all_cell_types 35000 4 50 3000 0.0133942320567947 0.00620833987621183
scaled_NMF all_cell_types 35000 3 50 3000 0.0331406620149971 0.00821009948321483
scaled_NMF all_cell_types 35000 2 50 3000 0.0159407692316407 0.00431874492073026
scaled_NMF all_cell_types 35000 5 50 3000 0.0321475082975444 0.00677923531288271
scaled_NMF all_cell_types 25000 5 50 3000 0.0143397462369297 0.00446216211014749
NMF all_cell_types 100 1 50 20000 0.0712989361050712 0.0349594357877234
NMF all_cell_types 50 1 50 20000 -1.42418877095727 0.0292449139280127
NMF all_cell_types 50 3 50 20000 -1.442882290207 0.0269897828250562
NMF all_cell_types 50 2 50 20000 0.999777602189403 0.040806535559774
NMF all_cell_types 100 2 50 20000 0.0247009523302897 0.0596476899075421
NMF all_cell_types 50 4 50 20000 0.961649815160334 0.0356292885840117
NMF all_cell_types 50 5 50 20000 0.240360309909953 0.00688333584721057
NMF all_cell_types 100 3 50 20000 0.134334649705851 0.0334629101325152
NMF all_cell_types 100 4 50 20000 0.135077482080462 0.0803125742210868
NMF all_cell_types 100 5 50 20000 0.180980853029813 0.036787303457273
scaled_NMF all_cell_types 100 1 50 20000 -0.148894594744724 0.0340132483835244
scaled_NMF all_cell_types 50 1 50 20000 0.253634090293229 0.0292449139280127
